StartDate,EndDate,Duration,Q3,Q4,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,SC0,SC1,SC2
26/06/2019 16:30,26/06/2019 16:34,241,BT-SMAO-0001,1,3,3,1,3,3,1,1,1,3,3,5,4,1,5,3,1,1,1,3,1,3,3,1,1,1,3,1,1,1,3,1,40,23,12
26/06/2019 16:56,26/06/2019 17:09,799,BT-SMAO-0001,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
26/06/2019 17:09,26/06/2019 19:04,6912,BT-SMAO-0002,2,2,3,1,5,3,1,1,1,2,5,5,3,1,5,3,1,1,1,1,1,5,5,1,1,1,1,1,1,1,2,1,39,24,11
26/06/2019 19:31,26/06/2019 19:35,235,BT-SMAO-0002,7,5,3,1,5,5,1,1,1,3,5,5,5,4,5,5,1,1,1,2,1,5,5,1,1,1,2,1,1,1,3,2,54,35,17
27/06/2019 10:01,27/06/2019 11:15,4415,BT-SMAO-0003,3,1,2,1,4,4,2,1,3,4,4,2,4,2,2,2,3,1,1,4,2,2,2,2,1,2,2,2,1,1,1,2,42,22,14
27/06/2019 11:34,27/06/2019 11:36,154,BT-SMAO-0003,6,1,1,5,1,1,5,5,5,1,1,1,5,5,1,1,4,4,2,1,5,1,1,4,4,5,1,4,3,2,1,1,51,24,27
27/06/2019 13:35,27/06/2019 13:46,665,BT-SMAO-0004,4,5,5,1,5,5,1,1,1,5,5,5,3,1,5,5,1,1,1,5,1,5,5,5,1,1,4,1,1,1,4,4,64,34,29
27/06/2019 14:03,27/06/2019 14:20,1038,BT-SMAO-0004,7,2,1,3,2,3,5,3,3,1,2,2,3,5,1,1,2,1,4,1,3,1,1,4,4,4,1,3,3,3,1,1,51,22,21
27/06/2019 16:35,27/06/2019 16:38,177,BT-SMAO-0005,6,3,2,1,5,3,4,1,1,2,5,4,5,3,4,3,1,1,1,2,1,2,2,1,1,1,1,1,1,1,3,4,43,29,10
27/06/2019 17:02,27/06/2019 17:04,123,BT-SMAO-0005,1,5,5,1,5,4,1,1,1,5,5,5,4,1,5,4,1,1,1,5,1,4,5,1,1,1,2,1,1,1,5,5,57,34,23
27/06/2019 18:47,27/06/2019 18:50,201,BT-SMAO-0006,2,5,5,5,5,5,1,1,1,1,5,5,1,1,5,5,1,1,1,1,1,5,5,1,1,1,5,1,1,1,5,5,56,32,24
